DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	genus-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#a2a78e	Pseudovirgaria
Pseudogymnoascus_sp._05NY08	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._23342-1-I1	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._24MN13	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-3557	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-3775	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-3808	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-4246	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-4281_(FW-2241)	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-4513_(FW-928)	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-4515_(FW-2607)	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-4516_(FW-969)	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-4518_(FW-2643)	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-4519_(FW-2642)	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._VKM_F-4520_(FW-2644)	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_sp._WSF_3629	#45ee5d	Pseudogymnoascus
Pseudogymnoascus_verrucosus	#45ee5d	Pseudogymnoascus
Neolecta_irregularis	#0c5684	Neolecta
Arthrobotrys_flagrans	#735828	Arthrobotrys
Dactylellina_haptotyla	#b0daf3	Dactylellina
Drechslerella_stenobrocha	#10a6c2	Drechslerella
Orbilia_oligospora	#0d1885	Orbilia
Ascobolus_immersus	#45d407	Ascobolus
Ascodesmis_nigricans	#0b9f2e	Ascodesmis
Morchella_conica	#c7eb06	Morchella
Terfezia_boudieri	#5ae97c	Terfezia
Sphaerosporella_brunnea	#e1516a	Sphaerosporella
Choiromyces_venosus	#1decd2	Choiromyces
Tuber_borchii	#93ad79	Tuber
Tuber_magnatum	#93ad79	Tuber
Tuber_melanosporum	#93ad79	Tuber
Coniochaeta_ligniaria	#3af98c	Coniochaeta
Coniochaeta_pulveracea	#3af98c	Coniochaeta
Coniochaeta_sp._2T2.1	#3af98c	Coniochaeta
Cryphonectria_parasitica	#c1cb70	Cryphonectria
Diaporthe_ampelina	#a50493	Diaporthe
Diaporthe_helianthi	#a50493	Diaporthe
Coniella_lustricola	#583279	Coniella
Cytospora_leucostoma	#4f88ab	Cytospora
Valsa_mali	#deeb69	Valsa
Valsa_malicola	#deeb69	Valsa
Valsa_sordida	#deeb69	Valsa
Colletotrichum_abscissum	#4834e4	Colletotrichum
Colletotrichum_asianum	#4834e4	Colletotrichum
Colletotrichum_chlorophyti	#4834e4	Colletotrichum
Colletotrichum_fioriniae	#4834e4	Colletotrichum
Colletotrichum_fructicola	#4834e4	Colletotrichum
Colletotrichum_gloeosporioides	#4834e4	Colletotrichum
Colletotrichum_gloeosporioides	#4834e4	Colletotrichum
Colletotrichum_graminicola	#4834e4	Colletotrichum
Colletotrichum_higginsianum	#4834e4	Colletotrichum
Colletotrichum_higginsianum	#4834e4	Colletotrichum
Colletotrichum_incanum	#4834e4	Colletotrichum
Colletotrichum_karsti	#4834e4	Colletotrichum
Colletotrichum_lupini	#4834e4	Colletotrichum
Colletotrichum_musicola	#4834e4	Colletotrichum
Colletotrichum_orbiculare	#4834e4	Colletotrichum
Colletotrichum_orchidophilum	#4834e4	Colletotrichum
Colletotrichum_plurivorum	#4834e4	Colletotrichum
Colletotrichum_salicis	#4834e4	Colletotrichum
Colletotrichum_scovillei	#4834e4	Colletotrichum
Colletotrichum_shisoi	#4834e4	Colletotrichum
Colletotrichum_sublineola	#4834e4	Colletotrichum
Colletotrichum_tanaceti	#4834e4	Colletotrichum
Colletotrichum_tofieldiae	#4834e4	Colletotrichum
Colletotrichum_trifolii	#4834e4	Colletotrichum
Plectosphaerella_cucumerina	#91bfbf	Plectosphaerella
Plectosphaerella_plurivora	#91bfbf	Plectosphaerella
Sodiomyces_alkalinus	#173b14	Sodiomyces
Verticillium_alfalfae	#b1a661	Verticillium
Verticillium_dahliae	#b1a661	Verticillium
Verticillium_dahliae	#b1a661	Verticillium
Verticillium_longisporum	#b1a661	Verticillium
Clonostachys_rhizophaga	#717ffc	Clonostachys
Clonostachys_rosea	#717ffc	Clonostachys
Geosmithia_morbida	#4ef42d	Geosmithia
Claviceps_africana	#db50c0	Claviceps
Claviceps_purpurea	#db50c0	Claviceps
Claviceps_pusilla	#db50c0	Claviceps
Epichloe_festucae	#845e9d	Epichloe
Metarhizium_acridum	#babc2a	Metarhizium
Metarhizium_album	#babc2a	Metarhizium
Metarhizium_anisopliae	#babc2a	Metarhizium
Metarhizium_humberi	#babc2a	Metarhizium
Metarhizium_majus	#babc2a	Metarhizium
Metarhizium_rileyi	#babc2a	Metarhizium
Moelleriella_libera	#44f79d	Moelleriella
Pochonia_chlamydosporia	#c7942d	Pochonia
Torrubiella_hemipterigena	#5e674c	Torrubiella
Ustilaginoidea_virens	#84b3b4	Ustilaginoidea
Akanthomyces_lecanii	#31c409	Akanthomyces
Akanthomyces_lecanii	#31c409	Akanthomyces
Beauveria_bassiana	#d26916	Beauveria
Beauveria_bassiana	#d26916	Beauveria
Beauveria_bassiana	#d26916	Beauveria
Cordyceps_fumosorosea	#a346fb	Cordyceps
Cordyceps_javanica	#a346fb	Cordyceps
Cordyceps_militaris	#a346fb	Cordyceps
Cordyceps_sp._RAO-2017	#a346fb	Cordyceps
Escovopsis_weberi	#6b13e2	Escovopsis
Trichoderma_arundinaceum	#f24938	Trichoderma
Trichoderma_asperellum	#f24938	Trichoderma
Trichoderma_asperellum	#f24938	Trichoderma
Trichoderma_atroviride	#f24938	Trichoderma
Trichoderma_citrinoviride	#f24938	Trichoderma
Trichoderma_cornu-damae	#f24938	Trichoderma
Trichoderma_gamsii	#f24938	Trichoderma
Trichoderma_harzianum	#f24938	Trichoderma
Trichoderma_harzianum	#f24938	Trichoderma
Trichoderma_longibrachiatum	#f24938	Trichoderma
Trichoderma_reesei	#f24938	Trichoderma
Trichoderma_virens	#f24938	Trichoderma
Acremonium_chrysogenum	#e17443	Acremonium
Emericellopsis_atlantica	#f7d281	Emericellopsis
Emericellopsis_cladophorae	#f7d281	Emericellopsis
Cylindrodendrum_hubeiense	#08199b	Cylindrodendrum
Dactylonectria_estremocensis	#c0e7ca	Dactylonectria
Dactylonectria_macrodidyma	#c0e7ca	Dactylonectria
Fusarium_acutatum	#6f5765	Fusarium
Fusarium_agapanthi	#6f5765	Fusarium
Fusarium_albosuccineum	#6f5765	Fusarium
Fusarium_austroafricanum	#6f5765	Fusarium
Fusarium_avenaceum	#6f5765	Fusarium
Fusarium_beomiforme	#6f5765	Fusarium
Fusarium_culmorum	#6f5765	Fusarium
Fusarium_flagelliforme	#6f5765	Fusarium
Fusarium_fujikuroi	#6f5765	Fusarium
Fusarium_gaditjirri	#6f5765	Fusarium
Fusarium_globosum	#6f5765	Fusarium
Fusarium_graminearum	#6f5765	Fusarium
Fusarium_graminearum	#6f5765	Fusarium
Fusarium_heterosporum	#6f5765	Fusarium
Fusarium_kuroshium	#6f5765	Fusarium
Fusarium_langsethiae	#6f5765	Fusarium
Fusarium_longipes	#6f5765	Fusarium
Fusarium_mundagurra	#6f5765	Fusarium
Fusarium_napiforme	#6f5765	Fusarium
Fusarium_nygamai	#6f5765	Fusarium
Fusarium_odoratissimum	#6f5765	Fusarium
Fusarium_oligoseptatum	#6f5765	Fusarium
Fusarium_oxysporum	#6f5765	Fusarium
Fusarium_oxysporum	#6f5765	Fusarium
Fusarium_oxysporum	#6f5765	Fusarium
Fusarium_oxysporum	#6f5765	Fusarium
Fusarium_oxysporum	#6f5765	Fusarium
Fusarium_oxysporum	#6f5765	Fusarium
Fusarium_oxysporum	#6f5765	Fusarium
Fusarium_oxysporum	#6f5765	Fusarium
Fusarium_oxysporum	#6f5765	Fusarium
Fusarium_phyllophilum	#6f5765	Fusarium
Fusarium_poae	#6f5765	Fusarium
Fusarium_pseudocircinatum	#6f5765	Fusarium
Fusarium_redolens	#6f5765	Fusarium
Fusarium_sarcochroum	#6f5765	Fusarium
Fusarium_solani	#6f5765	Fusarium
Fusarium_sp._AF-6	#6f5765	Fusarium
Fusarium_sp._AF-8	#6f5765	Fusarium
Fusarium_sp._NRRL_52700	#6f5765	Fusarium
Fusarium_sp._NRRL_66182	#6f5765	Fusarium
Fusarium_sporotrichioides	#6f5765	Fusarium
Fusarium_subglutinans	#6f5765	Fusarium
Fusarium_tricinctum	#6f5765	Fusarium
Fusarium_vanettenii	#6f5765	Fusarium
Fusarium_venenatum	#6f5765	Fusarium
Fusarium_verticillioides	#6f5765	Fusarium
Fusarium_xylarioides	#6f5765	Fusarium
