DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	genus-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#a2a78e	Pseudovirgaria
Geodermatophilus_dictyosporus	#317627	Geodermatophilus
Modestobacter_caceresii	#29db9c	Modestobacter
Kineococcus_aurantiacus	#e84c0b	Kineococcus
Cellulomonas_cellasea	#92c815	Cellulomonas
Cellulomonas_flavigena	#92c815	Cellulomonas
Knoellia_locipacati	#763956	Knoellia
Phycicoccus_sp._HDW14	#14da41	Phycicoccus
Agromyces_aureus	#339928	Agromyces
Agromyces_intestinalis	#339928	Agromyces
Leifsonia_sp._Leaf336	#b919ea	Leifsonia
Microbacterium_sp._cf046	#9a7ce9	Microbacterium
Arthrobacter_sp._ISL-28	#a78334	Arthrobacter
Citricoccus_sp._SGAir0253	#cdbf3d	Citricoccus
Kocuria_coralli	#6be630	Kocuria
Ornithinimicrobium_tianjinense	#9bae74	Ornithinimicrobium
Actinoplanes_atraurantiacus	#31ee82	Actinoplanes
Actinoplanes_awajinensis	#31ee82	Actinoplanes
Actinoplanes_consettensis	#31ee82	Actinoplanes
Actinoplanes_derwentensis	#31ee82	Actinoplanes
Actinoplanes_digitatis	#31ee82	Actinoplanes
Actinoplanes_italicus	#31ee82	Actinoplanes
Actinoplanes_octamycinicus	#31ee82	Actinoplanes
Actinoplanes_philippinensis	#31ee82	Actinoplanes
Actinoplanes_rishiriensis	#31ee82	Actinoplanes
Actinoplanes_sp._ATCC_53533	#31ee82	Actinoplanes
Actinoplanes_sp._NEAU-A11	#31ee82	Actinoplanes
Actinoplanes_sp._SE50/110	#31ee82	Actinoplanes
Actinoplanes_teichomyceticus	#31ee82	Actinoplanes
Actinoplanes_utahensis	#31ee82	Actinoplanes
Catellatospora_sp._IY07-71	#4f015c	Catellatospora
Catellatospora_sp._TT07R-123	#4f015c	Catellatospora
Couchioplanes_caeruleus	#d5d0ed	Couchioplanes
Krasilnikovia_cinnamomea	#4c7a5c	Krasilnikovia
Longispora_fulva	#da1a1d	Longispora
Micromonospora_sp._WMMC415	#48ce0a	Micromonospora
Pilimelia_anulata	#d529d3	Pilimelia
Pilimelia_terevasa	#d529d3	Pilimelia
Planosporangium_flavigriseum	#0b0498	Planosporangium
Virgisporangium_aurantiacum	#a43cad	Virgisporangium
Actinobacteria_bacterium_OK074	#0c4206	nan
Actinobacteria_bacterium_OV320	#0c4206	nan
Nakamurella_endophytica	#09f472	Nakamurella
Nakamurella_flava	#09f472	Nakamurella
Nakamurella_flavida	#09f472	Nakamurella
Kribbella_sandramycini	#de3b2e	Kribbella
Kribbella_sp._VKM_Ac-2500	#de3b2e	Kribbella
Friedmanniella_luteola	#563632	Friedmanniella
Marmoricola_ginsengisoli	#d4080c	Marmoricola
Marmoricola_sp._Leaf446	#d4080c	Marmoricola
Micropruina_glycogenica	#b534fb	Micropruina
Mumia_sp._ZJ1417	#0f1f25	Mumia
Nocardioides_agariphilus	#3fa938	Nocardioides
Nocardioides_euryhalodurans	#3fa938	Nocardioides
Nocardioides_gansuensis	#3fa938	Nocardioides
Nocardioides_immobilis	#3fa938	Nocardioides
Nocardioides_islandensis	#3fa938	Nocardioides
Tessaracoccus_bendigoensis	#b3a23a	Tessaracoccus
Actinokineospora_fastidiosa	#aa6598	Actinokineospora
Alloactinosynnema_sp._L-07	#63f55f	Alloactinosynnema
Amycolatopsis_pithecellobii	#6748c9	Amycolatopsis
Goodfellowiella_sp._AN110305	#79dbbe	Goodfellowiella
Kibdelosporangium_aridum	#1ea7b6	Kibdelosporangium
Kibdelosporangium_phytohabitans	#1ea7b6	Kibdelosporangium
Lentzea_aerocolonigenes	#86c65d	Lentzea
Lentzea_albidocapillata	#86c65d	Lentzea
Pseudonocardiaceae_bacterium	#0c4206	nan
Pseudonocardia_endophytica	#bf5276	Pseudonocardia
Saccharothrix_australiensis	#c59261	Saccharothrix
Saccharothrix_ecbatanensis	#c59261	Saccharothrix
Saccharothrix_espanaensis	#c59261	Saccharothrix
Saccharothrix_sp.	#c59261	Saccharothrix
Saccharothrix_sp._CB00851	#c59261	Saccharothrix
Saccharothrix_sp._ST-888	#c59261	Saccharothrix
Saccharothrix_syringae	#c59261	Saccharothrix
Saccharothrix_tamanrassetensis	#c59261	Saccharothrix
Kitasatospora_atroaurantiaca	#7b3b4d	Kitasatospora
Kitasatospora_aureofaciens	#7b3b4d	Kitasatospora
Kitasatospora_cheerisanensis	#7b3b4d	Kitasatospora
Kitasatospora_griseola	#7b3b4d	Kitasatospora
Kitasatospora_indigofera	#7b3b4d	Kitasatospora
Kitasatospora_kifunensis	#7b3b4d	Kitasatospora
Kitasatospora_sp._Root187	#7b3b4d	Kitasatospora
Streptacidiphilus_bronchialis	#334315	Streptacidiphilus
Streptomyces_acidiscabies	#9e614c	Streptomyces
Streptomyces_actinomycinicus	#9e614c	Streptomyces
Streptomyces_actuosus	#9e614c	Streptomyces
Streptomyces_adustus	#9e614c	Streptomyces
Streptomyces_afghaniensis	#9e614c	Streptomyces
Streptomyces_agglomeratus	#9e614c	Streptomyces
Streptomyces_alanosinicus	#9e614c	Streptomyces
Streptomyces_albiflavescens	#9e614c	Streptomyces
Streptomyces_alboflavus	#9e614c	Streptomyces
Streptomyces_alboniger	#9e614c	Streptomyces
Streptomyces_albus	#9e614c	Streptomyces
Streptomyces_alkaliterrae	#9e614c	Streptomyces
Streptomyces_alni	#9e614c	Streptomyces
Streptomyces_ambofaciens	#9e614c	Streptomyces
Streptomyces_apricus	#9e614c	Streptomyces
Streptomyces_aurantiacus	#9e614c	Streptomyces
Streptomyces_aurantiacus	#9e614c	Streptomyces
Streptomyces_aurantiogriseus	#9e614c	Streptomyces
Streptomyces_auratus	#9e614c	Streptomyces
Streptomyces_avermitilis	#9e614c	Streptomyces
Streptomyces_beijiangensis	#9e614c	Streptomyces
Streptomyces_bomunensis	#9e614c	Streptomyces
Streptomyces_bungoensis	#9e614c	Streptomyces
Streptomyces_cacaoi	#9e614c	Streptomyces
Streptomyces_caelestis	#9e614c	Streptomyces
Streptomyces_caeruleatus	#9e614c	Streptomyces
Streptomyces_calvus	#9e614c	Streptomyces
Streptomyces_candidus	#9e614c	Streptomyces
Streptomyces_capitiformicae	#9e614c	Streptomyces
Streptomyces_cellostaticus	#9e614c	Streptomyces
Streptomyces_chattanoogensis	#9e614c	Streptomyces
Streptomyces_chromofuscus	#9e614c	Streptomyces
Streptomyces_clavuligerus	#9e614c	Streptomyces
Streptomyces_coelicolor	#9e614c	Streptomyces
Streptomyces_collinus	#9e614c	Streptomyces
Streptomyces_colonosanans	#9e614c	Streptomyces
Streptomyces_corynorhini	#9e614c	Streptomyces
Streptomyces_curacoi	#9e614c	Streptomyces
Streptomyces_cyaneogriseus	#9e614c	Streptomyces
Streptomyces_davaonensis	#9e614c	Streptomyces
Streptomyces_diastatochromogenes	#9e614c	Streptomyces
Streptomyces_dioscori	#9e614c	Streptomyces
Streptomyces_dysideae	#9e614c	Streptomyces
Streptomyces_echinatus	#9e614c	Streptomyces
Streptomyces_echinoruber	#9e614c	Streptomyces
Streptomyces_eurocidicus	#9e614c	Streptomyces
Streptomyces_fagopyri	#9e614c	Streptomyces
Streptomyces_ferrugineus	#9e614c	Streptomyces
Streptomyces_filamentosus	#9e614c	Streptomyces
Streptomyces_filipinensis	#9e614c	Streptomyces
Streptomyces_finlayi	#9e614c	Streptomyces
Streptomyces_flaveus	#9e614c	Streptomyces
Streptomyces_formicae	#9e614c	Streptomyces
Streptomyces_fructofermentans	#9e614c	Streptomyces
Streptomyces_fulvorobeus	#9e614c	Streptomyces
Streptomyces_fumanus	#9e614c	Streptomyces
Streptomyces_fungicidicus	#9e614c	Streptomyces
Streptomyces_fuscichromogenes	#9e614c	Streptomyces
Streptomyces_galilaeus	#9e614c	Streptomyces
Streptomyces_gardneri	#9e614c	Streptomyces
Streptomyces_genisteinicus	#9e614c	Streptomyces
Streptomyces_glaucescens	#9e614c	Streptomyces
Streptomyces_globosus	#9e614c	Streptomyces
Streptomyces_griseoaurantiacus	#9e614c	Streptomyces
Streptomyces_griseorubiginosus	#9e614c	Streptomyces
Streptomyces_griseoviridis	#9e614c	Streptomyces
Streptomyces_guanduensis	#9e614c	Streptomyces
Streptomyces_humidus	#9e614c	Streptomyces
Streptomyces_hundungensis	#9e614c	Streptomyces
Streptomyces_inhibens	#9e614c	Streptomyces
Streptomyces_inusitatus	#9e614c	Streptomyces
Streptomyces_ipomoeae	#9e614c	Streptomyces
Streptomyces_jumonjinensis	#9e614c	Streptomyces
Streptomyces_kanasensis	#9e614c	Streptomyces
Streptomyces_kaniharaensis	#9e614c	Streptomyces
Streptomyces_klenkii	#9e614c	Streptomyces
Streptomyces_lacrimifluminis	#9e614c	Streptomyces
Streptomyces_laurentii	#9e614c	Streptomyces
Streptomyces_lavendofoliae	#9e614c	Streptomyces
Streptomyces_lavendulae	#9e614c	Streptomyces
Streptomyces_liangshanensis	#9e614c	Streptomyces
Streptomyces_lincolnensis	#9e614c	Streptomyces
Streptomyces_longispororuber	#9e614c	Streptomyces
Streptomyces_longwoodensis	#9e614c	Streptomyces
Streptomyces_lucensis	#9e614c	Streptomyces
Streptomyces_lunaelactis	#9e614c	Streptomyces
Streptomyces_luteolifulvus	#9e614c	Streptomyces
Streptomyces_luteoverticillatus	#9e614c	Streptomyces
Streptomyces_lydicamycinicus	#9e614c	Streptomyces
Streptomyces_lydicus	#9e614c	Streptomyces
Streptomyces_malaysiense	#9e614c	Streptomyces
Streptomyces_mangrovisoli	#9e614c	Streptomyces
Streptomyces_mashuensis	#9e614c	Streptomyces
Streptomyces_mexicanus	#9e614c	Streptomyces
Streptomyces_minutiscleroticus	#9e614c	Streptomyces
Streptomyces_monashensis	#9e614c	Streptomyces
Streptomyces_naganishii	#9e614c	Streptomyces
Streptomyces_nitrosporeus	#9e614c	Streptomyces
Streptomyces_niveoruber	#9e614c	Streptomyces
Streptomyces_olivochromogenes	#9e614c	Streptomyces
Streptomyces_olivoverticillatus	#9e614c	Streptomyces
Streptomyces_paludis	#9e614c	Streptomyces
Streptomyces_paucisporeus	#9e614c	Streptomyces
Streptomyces_phaeofaciens	#9e614c	Streptomyces
Streptomyces_phyllanthi	#9e614c	Streptomyces
Streptomyces_pilosus	#9e614c	Streptomyces
Streptomyces_pluripotens	#9e614c	Streptomyces
Streptomyces_poonensis	#9e614c	Streptomyces
Streptomyces_populi	#9e614c	Streptomyces
Streptomyces_purpureus	#9e614c	Streptomyces
Streptomyces_qinzhouensis	#9e614c	Streptomyces
Streptomyces_regalis	#9e614c	Streptomyces
Streptomyces_resistomycificus	#9e614c	Streptomyces
Streptomyces_roseochromogenus	#9e614c	Streptomyces
Streptomyces_roseus	#9e614c	Streptomyces
Streptomyces_rubellomurinus	#9e614c	Streptomyces
Streptomyces_ruber	#9e614c	Streptomyces
Streptomyces_rubidus	#9e614c	Streptomyces
Streptomyces_rubrolavendulae	#9e614c	Streptomyces
Streptomyces_scabiei	#9e614c	Streptomyces
Streptomyces_seoulensis	#9e614c	Streptomyces
Streptomyces_showdoensis	#9e614c	Streptomyces
Streptomyces_silvensis	#9e614c	Streptomyces
Streptomyces_smaragdinus	#9e614c	Streptomyces
Streptomyces_sp.	#9e614c	Streptomyces
Streptomyces_sp._1-11	#9e614c	Streptomyces
Streptomyces_sp._150FB	#9e614c	Streptomyces
Streptomyces_sp._3213.3	#9e614c	Streptomyces
Streptomyces_sp._3214.6	#9e614c	Streptomyces
Streptomyces_sp._A1136	#9e614c	Streptomyces
Streptomyces_sp._ADI93-02	#9e614c	Streptomyces
Streptomyces_sp._ADI96-02	#9e614c	Streptomyces
Streptomyces_sp._ADI97-07	#9e614c	Streptomyces
Streptomyces_sp._AS58	#9e614c	Streptomyces
Streptomyces_sp._AVP053U2	#9e614c	Streptomyces
Streptomyces_sp._Act143	#9e614c	Streptomyces
Streptomyces_sp._Ag109_G2-6	#9e614c	Streptomyces
Streptomyces_sp._Ag109_O5-10	#9e614c	Streptomyces
Streptomyces_sp._Amel2xC10	#9e614c	Streptomyces
Streptomyces_sp._B93	#9e614c	Streptomyces
Streptomyces_sp._BA2	#9e614c	Streptomyces
Streptomyces_sp._BK239	#9e614c	Streptomyces
Streptomyces_sp._BR123	#9e614c	Streptomyces
Streptomyces_sp._CB00455	#9e614c	Streptomyces
Streptomyces_sp._CB01373	#9e614c	Streptomyces
Streptomyces_sp._CB01635	#9e614c	Streptomyces
Streptomyces_sp._CB01881	#9e614c	Streptomyces
Streptomyces_sp._CB01883	#9e614c	Streptomyces
Streptomyces_sp._CB02400	#9e614c	Streptomyces
Streptomyces_sp._CB02923	#9e614c	Streptomyces
Streptomyces_sp._CB03234	#9e614c	Streptomyces
Streptomyces_sp._CC53	#9e614c	Streptomyces
Streptomyces_sp._CdTB01	#9e614c	Streptomyces
Streptomyces_sp._DI166	#9e614c	Streptomyces
Streptomyces_sp._DSM_15324	#9e614c	Streptomyces
Streptomyces_sp._DSM_40868	#9e614c	Streptomyces
Streptomyces_sp._DvalAA-14	#9e614c	Streptomyces
Streptomyces_sp._ERV7	#9e614c	Streptomyces
Streptomyces_sp._F-1	#9e614c	Streptomyces
Streptomyces_sp._F001	#9e614c	Streptomyces
Streptomyces_sp._FH025	#9e614c	Streptomyces
Streptomyces_sp._FXJ1.172	#9e614c	Streptomyces
Streptomyces_sp._Go-475	#9e614c	Streptomyces
Streptomyces_sp._H-KF8	#9e614c	Streptomyces
Streptomyces_sp._HGB0020	#9e614c	Streptomyces
Streptomyces_sp._IB201691-2A2	#9e614c	Streptomyces
Streptomyces_sp._ICC1	#9e614c	Streptomyces
Streptomyces_sp._ISL-1	#9e614c	Streptomyces
Streptomyces_sp._ISL-10	#9e614c	Streptomyces
Streptomyces_sp._ISL-11	#9e614c	Streptomyces
Streptomyces_sp._ISL-12	#9e614c	Streptomyces
Streptomyces_sp._ISL-63	#9e614c	Streptomyces
Streptomyces_sp._ISL-66	#9e614c	Streptomyces
Streptomyces_sp._ISL-86	#9e614c	Streptomyces
Streptomyces_sp._ISL-94	#9e614c	Streptomyces
Streptomyces_sp._ISL-96	#9e614c	Streptomyces
Streptomyces_sp._ISL-98	#9e614c	Streptomyces
Streptomyces_sp._M41(2017)	#9e614c	Streptomyces
Streptomyces_sp._MA5143a	#9e614c	Streptomyces
Streptomyces_sp._MMG1121	#9e614c	Streptomyces
Streptomyces_sp._MMG1533	#9e614c	Streptomyces
Streptomyces_sp._MP131-18	#9e614c	Streptomyces
Streptomyces_sp._MZ04	#9e614c	Streptomyces
Streptomyces_sp._Mg1	#9e614c	Streptomyces
Streptomyces_sp._MnatMP-M17	#9e614c	Streptomyces
Streptomyces_sp._NA02950	#9e614c	Streptomyces
Streptomyces_sp._NA04227	#9e614c	Streptomyces
Streptomyces_sp._NRRL_B-3648	#9e614c	Streptomyces
Streptomyces_sp._NRRL_F-4428	#9e614c	Streptomyces
Streptomyces_sp._NRRL_F-5122	#9e614c	Streptomyces
Streptomyces_sp._NRRL_S-1521	#9e614c	Streptomyces
Streptomyces_sp._NRRL_WC-3605	#9e614c	Streptomyces
Streptomyces_sp._NRRL_WC-3618	#9e614c	Streptomyces
Streptomyces_sp._NWU49	#9e614c	Streptomyces
Streptomyces_sp._PAN_FS17	#9e614c	Streptomyces
Streptomyces_sp._PBH53	#9e614c	Streptomyces
Streptomyces_sp._PTY087I2	#9e614c	Streptomyces
Streptomyces_sp._QHH-9511	#9e614c	Streptomyces
Streptomyces_sp._R302	#9e614c	Streptomyces
Streptomyces_sp._RB17	#9e614c	Streptomyces
Streptomyces_sp._RG38	#9e614c	Streptomyces
Streptomyces_sp._Root264	#9e614c	Streptomyces
Streptomyces_sp._Ru71	#9e614c	Streptomyces
Streptomyces_sp._Ru72	#9e614c	Streptomyces
Streptomyces_sp._S4.7	#9e614c	Streptomyces
Streptomyces_sp._SAT1	#9e614c	Streptomyces
Streptomyces_sp._SCSIO_64649	#9e614c	Streptomyces
Streptomyces_sp._SDr-06	#9e614c	Streptomyces
Streptomyces_sp._SID10115	#9e614c	Streptomyces
Streptomyces_sp._SID10853	#9e614c	Streptomyces
Streptomyces_sp._SID13726	#9e614c	Streptomyces
Streptomyces_sp._SID14478	#9e614c	Streptomyces
Streptomyces_sp._SID161	#9e614c	Streptomyces
Streptomyces_sp._SID2119	#9e614c	Streptomyces
Streptomyces_sp._SID2131	#9e614c	Streptomyces
Streptomyces_sp._SID4985	#9e614c	Streptomyces
Streptomyces_sp._SID5785	#9e614c	Streptomyces
Streptomyces_sp._SID5789	#9e614c	Streptomyces
Streptomyces_sp._SID5910	#9e614c	Streptomyces
Streptomyces_sp._SID625	#9e614c	Streptomyces
Streptomyces_sp._SID7760	#9e614c	Streptomyces
Streptomyces_sp._SID7982	#9e614c	Streptomyces
Streptomyces_sp._SID8111	#9e614c	Streptomyces
Streptomyces_sp._SID8352	#9e614c	Streptomyces
Streptomyces_sp._SID8379	#9e614c	Streptomyces
Streptomyces_sp._SID8455	#9e614c	Streptomyces
Streptomyces_sp._SLBN-118	#9e614c	Streptomyces
Streptomyces_sp._SN-593	#9e614c	Streptomyces
Streptomyces_sp._ST5x	#9e614c	Streptomyces
Streptomyces_sp._SirexAA-E	#9e614c	Streptomyces
Streptomyces_sp._So13.3	#9e614c	Streptomyces
Streptomyces_sp._TLI_185	#9e614c	Streptomyces
Streptomyces_sp._TLI_235	#9e614c	Streptomyces
Streptomyces_sp._TRM_S81-3	#9e614c	Streptomyces
Streptomyces_sp._TRM68416	#9e614c	Streptomyces
Streptomyces_sp._TS71-3	#9e614c	Streptomyces
Streptomyces_sp._TSRI0281	#9e614c	Streptomyces
Streptomyces_sp._Tue6028	#9e614c	Streptomyces
Streptomyces_sp._TverLS-915	#9e614c	Streptomyces
Streptomyces_sp._UH6	#9e614c	Streptomyces
Streptomyces_sp._W1SF4	#9e614c	Streptomyces
Streptomyces_sp._WAC_01438	#9e614c	Streptomyces
Streptomyces_sp._WAC00469	#9e614c	Streptomyces
Streptomyces_sp._WAC04657	#9e614c	Streptomyces
Streptomyces_sp._WAC04770	#9e614c	Streptomyces
Streptomyces_sp._WAC06614	#9e614c	Streptomyces
Streptomyces_sp._WM4235	#9e614c	Streptomyces
Streptomyces_sp._WM6386	#9e614c	Streptomyces
Streptomyces_sp._WZ.A104	#9e614c	Streptomyces
Streptomyces_sp._YIM_121038	#9e614c	Streptomyces
Streptomyces_sp._Z022	#9e614c	Streptomyces
Streptomyces_sp._adm13(2018)	#9e614c	Streptomyces
Streptomyces_sp._cf386	#9e614c	Streptomyces
Streptomyces_sp._ms191	#9e614c	Streptomyces
Streptomyces_sp._yr375	#9e614c	Streptomyces
Streptomyces_spinoverrucosus	#9e614c	Streptomyces
Streptomyces_spiralis	#9e614c	Streptomyces
Streptomyces_subrutilus	#9e614c	Streptomyces
Streptomyces_sulfonofaciens	#9e614c	Streptomyces
Streptomyces_taklimakanensis	#9e614c	Streptomyces
Streptomyces_termitum	#9e614c	Streptomyces
Streptomyces_tirandamycinicus	#9e614c	Streptomyces
Streptomyces_toyocaensis	#9e614c	Streptomyces
Streptomyces_triculaminicus	#9e614c	Streptomyces
Streptomyces_tsukubensis	#9e614c	Streptomyces
Streptomyces_turgidiscabies	#9e614c	Streptomyces
Streptomyces_tyrosinilyticus	#9e614c	Streptomyces
Streptomyces_uncialis	#9e614c	Streptomyces
Streptomyces_venezuelae	#9e614c	Streptomyces
Streptomyces_vietnamensis	#9e614c	Streptomyces
Streptomyces_wuyuanensis	#9e614c	Streptomyces
Streptomyces_xanthii	#9e614c	Streptomyces
Streptomyces_xanthophaeus	#9e614c	Streptomyces
Streptomyces_yanglinensis	#9e614c	Streptomyces
Streptomyces_yokosukanensis	#9e614c	Streptomyces
Streptomyces_zinciresistens	#9e614c	Streptomyces
Nocardiopsis_algeriensis	#17e06f	Nocardiopsis
Nocardiopsis_sp._JB363	#17e06f	Nocardiopsis
Bailinhaonella_thermotolerans	#4a35ab	Bailinhaonella
Microbispora_bryophytorum	#1f2e37	Microbispora
Microbispora_rosea	#1f2e37	Microbispora
Nonomuraea_endophytica	#41ea77	Nonomuraea
Nonomuraea_sp._ATCC_55076	#41ea77	Nonomuraea
Sinosporangium_album	#312179	Sinosporangium
Sinosporangium_siamense	#312179	Sinosporangium
Sphaerisporangium_krabiense	#38db41	Sphaerisporangium
Trebonia_kvetii	#8ef306	Trebonia
Rubrobacter_xylanophilus	#398080	Rubrobacter
Fimbriimonas_ginsengisoli	#9ec8a9	Fimbriimonas
Fragilariopsis_cylindrus	#e5d913	Fragilariopsis
Nitzschia_inconspicua	#be2ff4	Nitzschia
Pseudo-nitzschia_multistriata	#1afe16	Pseudo-nitzschia
Seminavis_robusta	#32b118	Seminavis
Phaeodactylum_tricornutum	#3ce9ae	Phaeodactylum
Thalassiosira_oceanica	#954cd1	Thalassiosira
Bacteroidia_bacterium	#0c4206	nan
Chitinophaga_flava	#511efa	Chitinophaga
Chitinophaga_japonensis	#511efa	Chitinophaga
Chitinophaga_jiangningensis	#511efa	Chitinophaga
Chitinophaga_tropicalis	#511efa	Chitinophaga
Filimonas_lacunae	#9942c9	Filimonas
Filimonas_zeae	#9942c9	Filimonas
Panacibacter_ginsenosidivorans	#cda8b7	Panacibacter
Taibaiella_soli	#5e1245	Taibaiella
Echinicola_pacifica	#6f045c	Echinicola
Siphonobacter_aquaeclarae	#3540a5	Siphonobacter
Fulvivirga_sp._29W222	#1b9fa3	Fulvivirga
Fulvivirga_sp._M361	#1b9fa3	Fulvivirga
Hymenobacter_sp._CRA2	#47df15	Hymenobacter
Rufibacter_tibetensis	#5647fd	Rufibacter
Marinoscillum_furvescens	#d43330	Marinoscillum
Roseivirga_spongicola	#56759b	Roseivirga
Dyadobacter_fermentans	#9f222c	Dyadobacter
Emticicia_sp._TH156	#388c3b	Emticicia
Pseudarcicella_hirudinis	#eaaac1	Pseudarcicella
Aggregatimonas_sangjinii	#be7f04	Aggregatimonas
Aquimarina_amphilecti	#10c241	Aquimarina
Aquimarina_brevivitae	#10c241	Aquimarina
Aquimarina_mytili	#10c241	Aquimarina
Arenibacter_nanhaiticus	#29a85e	Arenibacter
Dokdonia_pacifica	#0b4b91	Dokdonia
Flavobacterium_cerinum	#673195	Flavobacterium
Flavobacterium_geliluteum	#673195	Flavobacterium
Flavobacterium_humi	#673195	Flavobacterium
Flavobacterium_macacae	#673195	Flavobacterium
Flavobacterium_sp._316	#673195	Flavobacterium
Flavobacterium_sp._9AF	#673195	Flavobacterium
Flavobacterium_sp._KMS	#673195	Flavobacterium
Flavobacterium_succinicans	#673195	Flavobacterium
Flavobacterium_terrae	#673195	Flavobacterium
Formosa_sp._Hel1_31_208	#04f1e1	Formosa
Galbibacter_marinus	#877251	Galbibacter
Hyunsoonleella_pacifica	#93843c	Hyunsoonleella
Kordia_sp._SMS9	#1de2eb	Kordia
Lacinutrix_sp._Bg11-31	#695a0a	Lacinutrix
Leptobacterium_flavescens	#955d53	Leptobacterium
Mangrovimonas_sp._DI_80	#8f6bb2	Mangrovimonas
Muricauda_aurantiaca	#e41c03	Muricauda
Muricauda_koreensis	#e41c03	Muricauda
Muricauda_nanhaiensis	#e41c03	Muricauda
Muricauda_ochracea	#e41c03	Muricauda
Muricauda_pacifica	#e41c03	Muricauda
Muricauda_parva	#e41c03	Muricauda
Poritiphilus_flavus	#aab332	Poritiphilus
Pricia_antarctica	#f49f4b	Pricia
Tenacibaculum_sp._Bg11-29	#921f6c	Tenacibaculum
Tenacibaculum_sp._MAR_2009_124	#921f6c	Tenacibaculum
Urechidicola_croceus	#45261e	Urechidicola
Zhouia_amylolytica	#023d0b	Zhouia
Chryseobacterium_hagamense	#583eaf	Chryseobacterium
Chryseobacterium_sp._3008163	#583eaf	Chryseobacterium
Haliscomenobacter_hydrossis	#c4658f	Haliscomenobacter
Phaeodactylibacter_xiamenensis	#46dc61	Phaeodactylibacter
Flavilitoribacter_nigricans	#663df0	Flavilitoribacter
Lewinella_lacunae	#9fddb8	Lewinella
Arcticibacter_svalbardensis	#14f5c5	Arcticibacter
Mucilaginibacter_frigoritolerans	#254d1e	Mucilaginibacter
Mucilaginibacter_sp._FT3.2	#254d1e	Mucilaginibacter
Mucilaginibacter_sp._SP1R1	#254d1e	Mucilaginibacter
Olivibacter_sp._LS-1	#5db4ea	Olivibacter
Olivibacter_sp._SDN3	#5db4ea	Olivibacter
Candidatus_Dormibacteraeota_bacterium	#0c4206	nan
Candidatus_Entotheonella_factor	#16784d	Candidatus Entotheonella
Candidatus_Entotheonella_gemina	#16784d	Candidatus Entotheonella
Ktedonospora_formicarum	#d55dff	Ktedonospora
Chloroflexi_bacterium_AL-W	#0c4206	nan
Pseudocohnilembus_persalinus	#72a902	Pseudocohnilembus
Stylonychia_lemnae	#cf3455	Stylonychia
Aphanothece_hegewaldii	#ab0f8b	Aphanothece
Aphanothece_sacrum	#ab0f8b	Aphanothece
Gloeocapsa_sp._PCC_73106	#d87d92	Gloeocapsa
Gloeocapsa_sp._PCC_7428	#d87d92	Gloeocapsa
Chlorogloea_sp._CCALA_695	#1fc4e7	Chlorogloea
Aliterella_atlantica	#017778	Aliterella
Chroococcidiopsis_thermalis	#c2a55a	Chroococcidiopsis
Sphaerospermopsis_kisseleviana	#10d54a	Sphaerospermopsis
Cyanomargarita_calcarea	#21c447	Cyanomargarita
aff._Roholtiella_sp._LEGE_12411	#5ed295	Roholtiella
Amazonocrinis_nigriterrae	#577e3d	Amazonocrinis
Atlanticothrix_silvestris	#74f4cb	Atlanticothrix
Cylindrospermum_sp._NIES-4074	#05d110	Cylindrospermum
Mojavia_pulchra	#1e1f4d	Mojavia
Nostoc_commune	#4343ea	Nostoc
Nostoc_flagelliforme	#4343ea	Nostoc
Nostoc_minutum	#4343ea	Nostoc
Nostoc_punctiforme	#4343ea	Nostoc
Nostoc_sp._ATCC_43529	#4343ea	Nostoc
Nostoc_sp._FACHB-888	#4343ea	Nostoc
Nostoc_sphaeroides	#4343ea	Nostoc
Rivularia_sp._PCC_7116	#2a49a7	Rivularia
Brasilonema_sennae	#5fc68b	Brasilonema
Iningainema_tapete	#13cb7b	Iningainema
Scytonema_hofmannii	#cc041f	Scytonema
Scytonema_sp._HK-05	#cc041f	Scytonema
Tolypothrix_bouteillei	#efb525	Tolypothrix
Tolypothrix_sp._NIES-4075	#efb525	Tolypothrix
Microcoleus_sp._FACHB-68	#eea179	Microcoleus
Planktothrix_sp._FACHB-1375	#10a067	Planktothrix
Moorena_producens	#380bea	Moorena
Okeania_sp._KiyG1	#ba5fb6	Okeania
Plectonema_radiosum	#18e8f9	Plectonema
cf._Phormidesmis_sp._LEGE_11477	#41fbbd	Phormidesmis
Oculatella_sp._LEGE_06141	#35479a	Oculatella
Acaryochloris_marina	#65fecb	Acaryochloris
Synechococcus_sp._BIOS-U3-1	#ec4b46	Synechococcus
Trichocoleus_sp._FACHB-832	#fc3f1f	Trichocoleus
Deinococcus_cellulosilyticus	#402d68	Deinococcus
Deinococcus_yavapaiensis	#402d68	Deinococcus
Plasmodiophora_brassicae	#3f65db	Plasmodiophora
Heterostelium_album	#b8e05b	Heterostelium
Cavenderia_fasciculata	#52f261	Cavenderia
Dictyostelium_discoideum	#2f0eca	Dictyostelium
Fictibacillus_macauensis	#bf0ce5	Fictibacillus
Peribacillus_psychrosaccharolyticus	#99f306	Peribacillus
Priestia_filamentosa	#a81c86	Priestia
Priestia_megaterium	#a81c86	Priestia
Cohnella_abietis	#63845c	Cohnella
Cohnella_cholangitidis	#63845c	Cohnella
Cohnella_endophytica	#63845c	Cohnella
Cohnella_luojiensis	#63845c	Cohnella
Cohnella_lupini	#63845c	Cohnella
