DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	family-strip
COLOR	#ff0000
DATA
Gomphillus_americanus	#7411c7	Graphidaceae
Blumeria_graminis	#185c48	Erysiphaceae
Blumeria_hordei	#185c48	Erysiphaceae
Blumeria_hordei	#185c48	Erysiphaceae
Erysiphe_necator	#185c48	Erysiphaceae
Erysiphe_pulchra	#185c48	Erysiphaceae
Golovinomyces_cichoracearum	#185c48	Erysiphaceae
Oidium_neolycopersici	#185c48	Erysiphaceae
Amorphotheca_resinae	#fdec42	Amorphothecaceae
Coleophoma_cylindrospora	#1a1293	Dermateaceae
Marssonina_coronariae	#1a1293	Dermateaceae
Drepanopeziza_brunnea	#2944ed	Drepanopezizaceae
Glarea_lozoyensis	#5829e3	Helotiaceae
Glarea_lozoyensis	#5829e3	Helotiaceae
Hymenoscyphus_albidus	#5829e3	Helotiaceae
Hymenoscyphus_fraxineus	#5829e3	Helotiaceae
Hyaloscypha_bicolor	#9f45f8	Hyaloscyphaceae
Hyaloscypha_hepaticicola	#9f45f8	Hyaloscyphaceae
Hyaloscypha_variabilis	#9f45f8	Hyaloscyphaceae
Hyphodiscus_hymeniophilus	#3322c7	Hyphodiscaceae
Lachnellula_arida	#cb5d73	Lachnaceae
Lachnellula_cervina	#cb5d73	Lachnaceae
Lachnellula_hyalina	#cb5d73	Lachnaceae
Lachnellula_occidentalis	#cb5d73	Lachnaceae
Lachnellula_subtilissima	#cb5d73	Lachnaceae
Lachnellula_suecica	#cb5d73	Lachnaceae
Lachnellula_willkommii	#cb5d73	Lachnaceae
Mollisia_scopiformis	#300bcd	Mollisiaceae
Phialocephala_subalpina	#300bcd	Mollisiaceae
Amylocarpus_encephaloides	#9315d0	nan
Cadophora_malorum	#9315d0	nan
Cadophora_sp._DSE1049	#9315d0	nan
Cadophora_sp._M221	#9315d0	nan
Helotiales_sp._DMI_Dod_QoI	#9315d0	nan
Rhexocercosporidium_sp._MPI-PUGE-AT-0058	#9315d0	nan
Calycina_marina	#d4b437	Pezizellaceae
Venustampulla_echinocandica	#36d32a	Pleuroascaceae
Rhynchosporium_commune	#335441	Ploettnerulaceae
Rutstroemia_sp._NJR-2017a_BBW	#bd1ff5	Rutstroemiaceae
Rutstroemia_sp._NJR-2017a_BVV2	#bd1ff5	Rutstroemiaceae
Rutstroemia_sp._NJR-2017a_WRK4	#bd1ff5	Rutstroemiaceae
Botryotinia_calthae	#3b9d37	Sclerotiniaceae
Botryotinia_convoluta	#3b9d37	Sclerotiniaceae
Botryotinia_narcissicola	#3b9d37	Sclerotiniaceae
Botrytis_cinerea	#3b9d37	Sclerotiniaceae
Botrytis_cinerea	#3b9d37	Sclerotiniaceae
Botrytis_elliptica	#3b9d37	Sclerotiniaceae
Botrytis_fragariae	#3b9d37	Sclerotiniaceae
Botrytis_porri	#3b9d37	Sclerotiniaceae
Monilinia_fructicola	#3b9d37	Sclerotiniaceae
Monilinia_fructigena	#3b9d37	Sclerotiniaceae
Monilinia_laxa	#3b9d37	Sclerotiniaceae
Monilinia_vaccinii-corymbosi	#3b9d37	Sclerotiniaceae
Sclerotinia_borealis	#3b9d37	Sclerotiniaceae
Sclerotinia_sclerotiorum	#3b9d37	Sclerotiniaceae
Sclerotinia_trifoliorum	#3b9d37	Sclerotiniaceae
Cudoniella_acicularis	#80a85e	Tricladiaceae
Oidiodendron_maius	#cb5e02	Myxotrichaceae
Leotiomycetes_sp._MPI-SDFR-AT-0126	#9315d0	nan
Scytalidium_lignicola	#9315d0	nan
Scytalidium_sp._3C	#9315d0	nan
Pseudogymnoascus_destructans	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._05NY08	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._23342-1-I1	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._24MN13	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-3557	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-3775	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-3808	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-4246	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-4281_(FW-2241)	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-4513_(FW-928)	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-4515_(FW-2607)	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-4516_(FW-969)	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-4518_(FW-2643)	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-4519_(FW-2642)	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._VKM_F-4520_(FW-2644)	#065d20	Pseudeurotiaceae
Pseudogymnoascus_sp._WSF_3629	#065d20	Pseudeurotiaceae
Pseudogymnoascus_verrucosus	#065d20	Pseudeurotiaceae
Neolecta_irregularis	#c74995	Neolectaceae
Arthrobotrys_flagrans	#49ec73	Orbiliaceae
Dactylellina_haptotyla	#49ec73	Orbiliaceae
Drechslerella_stenobrocha	#49ec73	Orbiliaceae
Orbilia_oligospora	#49ec73	Orbiliaceae
Ascobolus_immersus	#305541	Ascobolaceae
Ascodesmis_nigricans	#843e50	Ascodesmidaceae
Morchella_conica	#0d9a4e	Morchellaceae
Terfezia_boudieri	#d99cde	Pezizaceae
Sphaerosporella_brunnea	#f98583	Pyronemataceae
Choiromyces_venosus	#ef761d	Tuberaceae
Tuber_borchii	#ef761d	Tuberaceae
