DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	order-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#ff91ad	Acrospermales
Fusarium_oxysporum	#ec48a8	Hypocreales
Fusarium_oxysporum	#ec48a8	Hypocreales
Fusarium_oxysporum	#ec48a8	Hypocreales
Fusarium_oxysporum	#ec48a8	Hypocreales
Fusarium_oxysporum	#ec48a8	Hypocreales
Fusarium_oxysporum	#ec48a8	Hypocreales
Fusarium_oxysporum	#ec48a8	Hypocreales
Fusarium_oxysporum	#ec48a8	Hypocreales
Fusarium_oxysporum	#ec48a8	Hypocreales
Fusarium_phyllophilum	#ec48a8	Hypocreales
Fusarium_poae	#ec48a8	Hypocreales
Fusarium_pseudocircinatum	#ec48a8	Hypocreales
Fusarium_redolens	#ec48a8	Hypocreales
Fusarium_sarcochroum	#ec48a8	Hypocreales
Fusarium_solani	#ec48a8	Hypocreales
Fusarium_sp._AF-6	#ec48a8	Hypocreales
Fusarium_sp._AF-8	#ec48a8	Hypocreales
Fusarium_sp._NRRL_52700	#ec48a8	Hypocreales
Fusarium_sp._NRRL_66182	#ec48a8	Hypocreales
Fusarium_sporotrichioides	#ec48a8	Hypocreales
